Ключевое слово,Страница,Сеансы,"Новые сеансы, %",Новые пользователи,Показатель отказов,Страниц/сеанс,Сред. длительность сеанса,Коэффициент транзакций,Транзакции,Доход
(not provided),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html,3 826,"80,79 %",3 091,"64,24 %","1,18",00:02:35,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html/,3 053,"80,90 %",2 470,"53,13 %","1,17",00:03:07,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html,2 711,"65,44 %",1 774,"68,24 %","1,18",00:02:43,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,2 420,"79,05 %",1 913,"65,45 %","1,27",00:01:54,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/29798.html,2 306,"2,21 %",51,"53,86 %","18,22",00:05:18,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki/29798.html,2 154,"0,60 %",13,"57,06 %","21,50",00:05:13,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/29798.html,2 103,"1,81 %",38,"54,21 %","18,07",00:05:50,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/moony/pampersy.html,2 014,"69,81 %",1 406,"71,10 %","1,15",00:01:09,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/merries.html,1 989,"72,60 %",1 444,"71,34 %","1,10",00:01:13,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,1 976,"84,62 %",1 672,"64,12 %","1,10",00:02:01,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_huggies.html,1 710,"82,22 %",1 406,"65,96 %","1,22",00:01:52,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/kakie_pampersy_luchshe.html,1 609,"91,36 %",1 470,"75,57 %","1,21",00:01:40,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_pampers.html/,1 558,"81,32 %",1 267,"69,13 %","1,13",00:01:06,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/merries,1 457,"76,53 %",1 115,"71,31 %","1,15",00:01:35,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki,1 292,"1,93 %",25,"57,82 %","19,64",00:06:06,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,1 267,"85,00 %",1 077,"61,01 %","1,68",00:02:49,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki,1 204,"4,24 %",51,"62,04 %","13,92",00:04:49,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/nutricia_nutrilon/smesi.html,1 191,"76,57 %",912,"49,96 %","1,87",00:01:54,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html/,1 115,"71,57 %",798,"60,18 %","1,27",00:01:46,"0,00 %",0,"0,00 руб."
(not set),/catalog/kolyaski/29982.html,1 090,"0,00 %",0,"50,00 %","14,53",00:11:03,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/internet_magazin.html,975,"54,56 %",532,"38,97 %","1,17",00:06:08,"0,00 %",0,"0,00 руб."
памперсы для новорожденных,/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,950,"76,00 %",722,"66,63 %","1,21",00:01:42,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/pampers,937,"82,50 %",773,"51,33 %","1,49",00:03:21,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/detskoe-pitanie/28934.html,937,"0,00 %",0,"5,44 %","38,87",00:10:43,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi/29065.html,887,"0,00 %",0,"41,38 %","23,24",00:08:37,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/moony/pampersy.html,887,"49,94 %",443,"75,65 %","1,07",00:01:06,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/merries.html/,861,"73,52 %",633,"69,11 %","1,07",00:01:08,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/huggies,849,"85,04 %",722,"53,71 %","1,28",00:02:08,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/molochnye-smesi/29065.html,849,"0,00 %",0,"58,19 %","23,46",00:03:38,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,811,"87,42 %",709,"70,28 %","1,37",00:01:48,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/merries,811,"67,20 %",545,"73,37 %","1,16",00:00:48,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki,811,"1,60 %",13,"60,91 %","15,95",00:04:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/brendy/tovary_avent.html,773,"91,72 %",709,"41,01 %","1,52",00:02:50,"0,00 %",0,"0,00 руб."
(not provided),/tag/odezhda/litl_mi_grupp.html,760,"80,00 %",608,"71,71 %","1,15",00:01:19,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampers/premium_care.html/,760,"75,00 %",570,"68,29 %","1,22",00:01:21,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_pampers.html,760,"83,29 %",633,"68,29 %","1,37",00:01:27,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/pampers-sleep-and-play,760,"91,71 %",697,"60,00 %","1,08",00:01:08,"0,00 %",0,"0,00 руб."
(not provided),/catalog/molochnye-smesi/29065.html,709,"0,00 %",0,"48,24 %","21,75",00:05:15,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/pampers-sleep-and-play,709,"91,11 %",646,"75,04 %","1,11",00:00:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampers/sleep_and_play.html,684,"74,12 %",507,"79,68 %","1,13",00:00:29,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kolyaski/29982.html,671,"0,00 %",0,"54,69 %","19,35",00:09:25,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki-i-pelenki/29777.html,659,"0,00 %",0,"25,04 %","29,28",00:06:19,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/nochnye.html,659,"74,96 %",494,"65,40 %","1,23",00:01:42,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi,646,"15,63 %",101,"39,16 %","11,85",00:06:26,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pelenki.html,633,"86,10 %",545,"72,04 %","1,10",00:02:08,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_dlja_nedonoshenyh.html,633,"78,04 %",494,"60,03 %","1,16",00:05:36,"0,00 %",0,"0,00 руб."
(not provided),/tag/tovary_po_proizvoditelju/japonija.html,633,"72,04 %",456,"48,03 %","1,24",00:03:05,"0,00 %",0,"0,00 руб."
(not set),/catalog/igrushki-dlya-malyshey,633,"0,00 %",0,"78,04 %","15,91",00:03:02,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki_huggies.html,633,"81,99 %",519,"63,98 %","1,18",00:01:45,"0,00 %",0,"0,00 руб."
авент официальный сайт,/tag/brendy/tovary_avent.html,621,"63,29 %",393,"32,69 %","1,22",00:03:41,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki-i-pelenki/29777.html,621,"0,00 %",0,"22,38 %","43,96",00:09:07,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/sredstva-dlya-kormleniya/29293.html,608,"0,00 %",0,"52,14 %","19,86",00:06:00,"0,00 %",0,"0,00 руб."
(not provided),/tag/vsjo_o_japonskih_podguznikah.html,583,"71,70 %",418,"71,70 %","1,22",00:01:04,"0,00 %",0,"0,00 руб."
(not provided),/catalog/detskoe-pitanie/28934.html,570,"4,39 %",25,"11,05 %","40,63",00:10:44,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/pampers/sleep_and_play.html,570,"88,95 %",507,"77,72 %","1,20",00:00:52,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,570,"73,33 %",418,"64,39 %","1,20",00:01:44,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/pyure/29150.html,570,"0,00 %",0,"51,05 %","32,18",00:06:48,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/pampersy_dlja_novorozhdennyh.html,557,"91,02 %",507,"72,71 %","1,14",00:01:51,"0,00 %",0,"0,00 руб."
(not set),/tag/igraj_i_razvivajsya/tovary_tiny_love.html,557,"79,53 %",443,"75,04 %","1,09",00:00:41,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/kakie_pampersy_luchshe.html/,545,"88,26 %",481,"67,34 %","1,21",00:01:29,"0,00 %",0,"0,00 руб."
(not set),/catalog/avtokresla/29891.html,545,"0,00 %",0,"18,53 %","11,92",00:23:16,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/merries/nedorogo.html,545,"62,75 %",342,"69,72 %","1,21",00:02:31,"0,00 %",0,"0,00 руб."
(not provided),/catalog/pyure/29150.html,532,"2,44 %",13,"33,27 %","29,70",00:13:17,"0,00 %",0,"0,00 руб."
(not set),/catalog/detskoe-pitanie/28934.html,532,"2,44 %",13,"26,13 %","24,27",00:06:18,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/pampers,532,"85,71 %",456,"38,16 %","1,48",00:04:16,"0,00 %",0,"0,00 руб."
(not provided),/catalog/molochnye-smesi,519,"65,90 %",342,"61,08 %","10,37",00:04:18,"0,00 %",0,"0,00 руб."
молочная смесь нан от 6 мем,/catalog/gigiena-i-uhod/28627.html,519,"0,00 %",0,"12,14 %","1,17",00:10:33,"0,00 %",0,"0,00 руб."
(not set),/catalog/detskiy-transport/29962.html,507,"2,56 %",13,"10,06 %","19,59",00:13:28,"0,00 %",0,"0,00 руб."
(not provided),/catalog/dlya-novorogdennyh/105926_16362.html?page=2,494,"0,00 %",0,"94,94 %","1,80",00:00:37,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/frutonyanya.html,494,"87,25 %",431,"53,85 %","1,38",00:03:11,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/kosmetika/28783.html,482,"0,00 %",0,"57,88 %","25,79",00:03:48,"0,00 %",0,"0,00 руб."
памперсы для бассейна,/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,482,"73,65 %",355,"52,70 %","1,29",00:04:34,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kashi/28985.html,481,"0,00 %",0,"63,20 %","19,81",00:04:54,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/detskie_smesi.html/,481,"76,30 %",367,"68,40 %","1,21",00:00:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/helen_harper/podguzniki.html,481,"65,90 %",317,"58,00 %","1,16",00:01:30,"0,00 %",0,"0,00 руб."
(not set),/tag/brendy/tovary_avent.html,481,"84,20 %",405,"39,50 %","1,55",00:02:26,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/merries.html,481,"60,50 %",291,"63,20 %","1,19",00:03:46,"0,00 %",0,"0,00 руб."
товары для детей и новорожденных в интернет магазине,/catalog/igrovye-kompleksy/83884.html,481,"0,00 %",0,"5,20 %","1,26",00:17:31,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/huggies/podguzniki/trusiki.html,469,"72,92 %",342,"62,05 %","1,24",00:01:06,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki_huggies.html/,469,"75,69 %",355,"62,05 %","1,49",00:01:36,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/huggies,469,"70,15 %",329,"45,84 %","1,08",00:02:01,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/igrushki-dlya-malyshey/29585.html,469,"2,77 %",13,"56,72 %","29,33",00:06:45,"0,00 %",0,"0,00 руб."
(not set),/catalog/stulchiki-dlya-kormleniya/28903.html,456,"0,00 %",0,"5,48 %","14,84",00:11:50,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/gigiena-i-uhod/28627.html,456,"2,85 %",13,"13,82 %","41,93",00:13:24,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/kolyaski/29982.html,456,"0,00 %",0,"44,52 %","19,67",00:07:11,"0,00 %",0,"0,00 руб."
(not set),/catalog/shapochki-i-panamki/29773.html,443,"0,00 %",0,"65,69 %","20,39",00:01:37,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/goon.html,431,"67,52 %",291,"64,73 %","1,12",00:02:19,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/nutricia_nutrilon/smesi.html,431,"76,33 %",329,"79,35 %","1,06",00:00:34,"0,00 %",0,"0,00 руб."
(not set),/tag/magazin/detskie_tovary_moskva.html,431,"73,55 %",317,"26,45 %","1,15",00:02:53,"0,00 %",0,"0,00 руб."
младенец,/catalog/podguzniki/29798.html,431,"0,00 %",0,"58,93 %","21,81",00:08:38,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kosmetika/28783.html,418,"0,00 %",0,"36,36 %","29,52",00:11:38,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/moony/dlja_novorozhdennyh.html,418,"75,84 %",317,"51,44 %","1,09",00:01:52,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki-i-pelenki/29777.html,418,"0,00 %",0,"15,07 %","25,70",00:09:57,"0,00 %",0,"0,00 руб."
(not set),/catalog/pyure/29150.html,418,"0,00 %",0,"39,47 %","37,01",00:08:40,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/huggies/podguzniki/trusiki.html,418,"84,93 %",355,"69,62 %","1,21",00:01:12,"0,00 %",0,"0,00 руб."
(not provided),/catalog/igrushki-dlya-malchikov/31542.html,405,"0,00 %",0,"68,89 %","5,85",00:01:29,"0,00 %",0,"0,00 руб."
(not provided),/catalog/igrushki-dlya-malyshey/29585.html,405,"0,00 %",0,"40,74 %","31,12",00:06:00,"0,00 %",0,"0,00 руб."
(not set),/catalog/krovatki/30025.html,405,"3,21 %",13,"28,15 %","22,21",00:14:28,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi/nutricia,405,"90,62 %",367,"65,68 %","1,09",00:01:31,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki_dlja_nedonoshenyh.html,405,"75,06 %",304,"50,12 %","1,25",00:02:15,"0,00 %",0,"0,00 руб."
(not provided),/catalog/molochnye-smesi/nutricia,393,"100,00 %",393,"67,68 %","1,77",00:02:56,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/dlja_novorozhdennyh.html,393,"90,33 %",355,"54,71 %","1,74",00:06:27,"0,00 %",0,"0,00 руб."
(not set),/tag/tovary_dlja_novorozhdennyh.html,393,"61,32 %",241,"51,65 %","1,13",00:03:48,"0,00 %",0,"0,00 руб."
(not set),/catalog/bytovaya-himiya/28628.html,380,"0,00 %",0,"40,00 %","23,27",00:13:03,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/chai/detskie_chai.html,380,"86,58 %",329,"53,42 %","1,47",00:01:25,"0,00 %",0,"0,00 руб."
подгузники merries,/tag/podguzniki_i_pelenki/merries.html,380,"10,00 %",38,"23,42 %","1,17",00:02:12,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/goon,367,"58,58 %",215,"62,13 %","1,14",00:01:47,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki/pampers-premium-care,367,"89,65 %",329,"58,58 %","1,24",00:01:39,"0,00 %",0,"0,00 руб."
(not set),/catalog/igrushki-dlya-malyshey/29585.html,367,"0,00 %",0,"55,31 %","39,94",00:05:51,"0,00 %",0,"0,00 руб."
(not set),/catalog/kashi/28985.html,367,"0,00 %",0,"27,52 %","29,34",00:14:11,"0,00 %",0,"0,00 руб."
(not provided),/catalog/prinadlegnosti-dlya-kupaniya/28836.html,355,"0,00 %",0,"53,52 %","19,38",00:04:51,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/trusiki.html/,355,"74,93 %",266,"64,23 %","1,14",00:01:28,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/moony.html,355,"57,18 %",203,"71,27 %","1,14",00:00:20,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/moony/dlja_novorozhdennyh.html,355,"89,30 %",317,"60,56 %","1,18",00:03:09,"0,00 %",0,"0,00 руб."
купить памперсы дешево,/tag/podguzniki_i_pelenki/podguzniki/rasprodazhi_i_akcii.html,355,"46,48 %",165,"64,23 %","1,07",00:02:57,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/kashi/28985.html,355,"0,00 %",0,"46,48 %","33,40",00:06:31,"0,00 %",0,"0,00 руб."
(not provided),/catalog/shapochki-i-panamki/29773.html,342,"3,80 %",13,"44,44 %","33,19",00:07:57,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/libero/podguzniki/dlja_kupanija.html/,342,"66,67 %",228,"59,36 %","1,22",00:00:27,"0,00 %",0,"0,00 руб."
(not set),/catalog,342,"29,53 %",101,"0,00 %","3,37",00:14:26,"0,00 %",0,"0,00 руб."
младенец.ру,/catalog/podguzniki/29798.html,342,"0,00 %",0,"48,25 %","10,26",00:04:33,"0,00 %",0,"0,00 руб."
(not provided),/catalog/sredstva-dlya-kormleniya/29293.html,329,"0,00 %",0,"42,25 %","31,27",00:05:36,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/mead_johnson/enfamil.html,329,"73,25 %",241,"50,15 %","1,54",00:01:23,"0,00 %",0,"0,00 руб."
(not provided),/tag/magazin/dlja_mam_i_malyshej.html,329,"76,90 %",253,"38,60 %","1,16",00:02:36,"0,00 %",0,"0,00 руб."
(not provided),/tag/magazin/detskie_tovary_moskva.html,317,"59,94 %",190,"31,86 %","1,24",00:02:50,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/moony.html,317,"67,82 %",215,"71,92 %","1,04",00:03:56,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/podguzniki/nochnye.html,317,"83,91 %",266,"79,81 %","1,16",00:01:02,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/detskie_smesi.html,304,"58,22 %",177,"54,28 %","1,54",00:03:36,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki/moskva_i_oblast.html,304,"66,78 %",203,"58,22 %","1,21",00:02:11,"0,00 %",0,"0,00 руб."
(not set),/catalog/salfetki/28856.html,304,"0,00 %",0,"41,78 %","31,05",00:07:46,"0,00 %",0,"0,00 руб."
младенец.ру,/catalog/molochnye-smesi/29065.html,292,"0,00 %",0,"56,51 %","4,55",00:07:34,"0,00 %",0,"0,00 руб."
(not provided),/catalog/detskiy-transport/29962.html,291,"0,00 %",0,"43,64 %","16,07",00:06:49,"0,00 %",0,"0,00 руб."
подгузники для плавания,/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,291,"60,82 %",177,"47,77 %","1,18",00:00:53,"0,00 %",0,"0,00 руб."
(not provided),/catalog/pelenki,279,"54,48 %",152,"68,10 %","9,49",00:04:13,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/huggies/podguzniki/trusiki.html/,279,"77,06 %",215,"72,76 %","1,18",00:00:27,"0,00 %",0,"0,00 руб."
(not set),/catalog/gigiena-i-uhod/28627.html,279,"0,00 %",0,"27,24 %","22,39",00:13:43,"0,00 %",0,"0,00 руб."
(not set),/catalog/kosmetika/28783.html,279,"0,00 %",0,"49,82 %","40,68",00:07:50,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi/detskoe-pitanie-nenni,279,"81,72 %",228,"72,76 %","1,23",00:02:34,"0,00 %",0,"0,00 руб."
(not set),/catalog/pelenalnye-stoliki/32132.html,279,"0,00 %",0,"90,68 %","7,35",00:01:18,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/goon,279,"49,82 %",139,"77,06 %","1,14",00:00:07,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki/huggies-trusiki,279,"63,44 %",177,"45,52 %","1,27",00:02:02,"0,00 %",0,"0,00 руб."
безлактозные детские смеси,/tag/detskoe_pitanie/detskie_smesi/bezlaktoznye.html,279,"77,06 %",215,"54,48 %","1,23",00:02:15,"0,00 %",0,"0,00 руб."
младенец,/catalog/pyure/29150.html,279,"0,00 %",0,"36,56 %","15,44",00:05:07,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/detskoe-pitanie,279,"0,00 %",0,"18,28 %","42,32",00:09:29,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/podguzniki-i-pelenki,279,"0,00 %",0,"18,28 %","39,00",00:09:21,"0,00 %",0,"0,00 руб."
хаггис для мальчиков,/tag/podguzniki_i_pelenki/huggies/podguzniki/trusiki.html,279,"63,44 %",177,"68,10 %","1,23",00:01:09,"0,00 %",0,"0,00 руб."
(not provided),/catalog/bytovaya-himiya/28628.html,266,"0,00 %",0,"37,97 %","35,72",00:11:46,"0,00 %",0,"0,00 руб."
(not provided),/catalog/krovatki/30025.html,266,"23,68 %",63,"42,86 %","26,05",00:03:18,"0,00 %",0,"0,00 руб."
(not set),/catalog/igrushki/29558.html,266,"4,89 %",13,"47,74 %","17,62",00:03:16,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/helen_harper/podguzniki.html,266,"80,83 %",215,"66,54 %","1,19",00:00:29,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/merries/pampersy.html,266,"52,26 %",139,"80,83 %","1,09",00:00:20,"0,00 %",0,"0,00 руб."
детские смеси какие лучше,/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,266,"80,83 %",215,"47,74 %","2,14",00:05:08,"0,00 %",0,"0,00 руб."
интернет магазин детских товаров иваново,/catalog/tehnika-dlya-kuhni/29553.html?x=0&s=name,266,"0,00 %",0,"80,83 %","1,29",00:01:56,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/igrushki/29558.html,266,"0,00 %",0,"23,68 %","39,82",00:12:02,"0,00 %",0,"0,00 руб."
подгузники для бассейна,/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,266,"52,26 %",139,"42,86 %","1,43",00:00:55,"0,00 %",0,"0,00 руб."
хаггис официальный сайт,/tag/podguzniki_i_pelenki/podguzniki_huggies.html,266,"62,03 %",165,"62,03 %","2,05",00:01:05,"0,00 %",0,"0,00 руб."
(not provided),/catalog/aksessuary-dlya-puteshestviya/29946.html,253,"0,00 %",0,"90,12 %","10,62",00:01:27,"0,00 %",0,"0,00 руб."
(not provided),/catalog/odegda/29690.html,253,"0,00 %",0,"54,94 %","44,26",00:01:57,"0,00 %",0,"0,00 руб."
(not set),/catalog/molochnye-smesi/nanny,253,"45,06 %",114,"75,10 %","1,15",00:00:43,"0,00 %",0,"0,00 руб."
(not set),/tag/detskoe_pitanie/mead_johnson/enfamil.html,253,"50,20 %",127,"69,96 %","1,95",00:00:38,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/detskaya-gigiena,253,"0,00 %",0,"20,16 %","27,69",00:08:40,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/dlya-novorogdennyh/105926_16368.html,253,"0,00 %",0,"100,00 %","3,25",00:00:00,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kashi,241,"47,30 %",114,"52,70 %","17,14",00:09:40,"0,00 %",0,"0,00 руб."
(not provided),/tag/detskoe_pitanie/detskie_kashi.html,241,"78,84 %",190,"52,70 %","1,21",00:04:01,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/helen_harper/podguzniki.html/,241,"73,44 %",177,"57,68 %","1,26",00:01:26,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/libero/podguzniki/dlja_kupanija.html,241,"73,44 %",177,"84,23 %","1,16",00:02:01,"0,00 %",0,"0,00 руб."
(not set),/catalog/dlya-novorogdennyh/105926_16362.html,241,"0,00 %",0,"73,44 %","41,79",00:01:01,"0,00 %",0,"0,00 руб."
(not set),/catalog/podguzniki-i-pelenki,241,"0,00 %",0,"21,16 %","31,17",00:05:22,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/bytovaya-himiya/28628.html,241,"0,00 %",0,"26,14 %","43,42",00:10:36,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/detskiy-transport/29962.html,241,"0,00 %",0,"52,70 %","27,70",00:09:26,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/dlya-mamy/29429.html,241,"0,00 %",0,"21,16 %","25,07",00:08:30,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/progulka-i-puteshestvie/29890.html,241,"0,00 %",0,"31,54 %","33,38",00:12:09,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/stulchiki-dlya-kormleniya/28903.html?f=1621-12677_1622-13162&x=1&s=name,241,"0,00 %",0,"94,61 %","1,05",00:00:10,"0,00 %",0,"0,00 руб."
хаггис для девочек,/tag/podguzniki_i_pelenki/huggies/podguzniki/trusiki.html,241,"84,23 %",203,"52,70 %","1,26",00:02:25,"0,00 %",0,"0,00 руб."
(not provided),/catalog/kolybelki,228,"39,04 %",89,"66,67 %","3,28",00:00:58,"0,00 %",0,"0,00 руб."
(not provided),/catalog/podguzniki-i-pelenki,228,"0,00 %",0,"10,96 %","42,51",00:08:49,"0,00 %",0,"0,00 руб."
(not provided),/tag/podguzniki_i_pelenki/podguzniki.html,228,"77,63 %",177,"39,04 %","1,44",00:09:06,"0,00 %",0,"0,00 руб."
(not set),/catalog/detskoe-pitanie,228,"10,96 %",25,"5,70 %","32,84",00:11:05,"0,00 %",0,"0,00 руб."
(not set),/catalog/pitanie-dlya-mam/29510.html,228,"0,00 %",0,"83,33 %","10,50",00:00:35,"0,00 %",0,"0,00 руб."
(not set),/tag/podguzniki_i_pelenki/kakie_pampersy_luchshe.html,228,"72,37 %",165,"83,33 %","1,06",00:00:19,"0,00 %",0,"0,00 руб."
детские вещи для новорожденных,/tag/tovary_dlja_novorozhdennyh.html,228,"94,30 %",215,"55,70 %","1,83",00:01:06,"0,00 %",0,"0,00 руб."
какая детская смесь лучше,/tag/detskoe_pitanie/detskie_smesi/kakaja_luchshe.html,228,"89,04 %",203,"44,74 %","1,67",00:03:04,"0,00 %",0,"0,00 руб."
младенец ру,/catalog/salfetki/28856.html,228,"0,00 %",0,"39,04 %","43,45",00:10:18,"0,00 %",0,"0,00 руб."
нутрилон купить,/tag/detskoe_pitanie/nutricia_nutrilon/smesi.html,228,"50,00 %",114,"50,00 %","1,45",00:01:26,"0,00 %",0,"0,00 руб."
памперсы для купания в бассейне,/tag/podguzniki_i_pelenki/podguzniki/dlja_kupanija.html,228,"94,30 %",215,"66,67 %","1,22",00:00:49,"0,00 %",0,"0,00 руб."
